"Date","CWSR0000SA0L1E"
1957-01-01,28.7
1957-02-01,28.9
1957-03-01,29
1957-04-01,29.1
1957-05-01,29.1
1957-06-01,29.2
1957-07-01,29.3
1957-08-01,29.3
1957-09-01,29.4
1957-10-01,29.4
1957-11-01,29.6
1957-12-01,29.6
1958-01-01,29.6
1958-02-01,29.7
1958-03-01,29.8
1958-04-01,29.8
1958-05-01,29.8
1958-06-01,29.9
1958-07-01,29.9
1958-08-01,29.9
1958-09-01,30
1958-10-01,30
1958-11-01,30.1
1958-12-01,30.1
1959-01-01,30.2
1959-02-01,30.2
1959-03-01,30.3
1959-04-01,30.3
1959-05-01,30.4
1959-06-01,30.5
1959-07-01,30.5
1959-08-01,30.5
1959-09-01,30.6
1959-10-01,30.7
1959-11-01,30.7
1959-12-01,30.8
1960-01-01,30.8
1960-02-01,30.9
1960-03-01,30.9
1960-04-01,31
1960-05-01,31
1960-06-01,31
1960-07-01,30.9
1960-08-01,31
1960-09-01,31
1960-10-01,31.1
1960-11-01,31.1
1960-12-01,31
1961-01-01,31.1
1961-02-01,31.1
1961-03-01,31.2
1961-04-01,31.2
1961-05-01,31.2
1961-06-01,31.3
1961-07-01,31.3
1961-08-01,31.4
1961-09-01,31.4
1961-10-01,31.4
1961-11-01,31.5
1961-12-01,31.5
1962-01-01,31.5
1962-02-01,31.5
1962-03-01,31.6
1962-04-01,31.7
1962-05-01,31.7
1962-06-01,31.7
1962-07-01,31.8
1962-08-01,31.8
1962-09-01,31.8
1962-10-01,31.8
1962-11-01,31.8
1962-12-01,31.9
1963-01-01,31.8
1963-02-01,31.9
1963-03-01,32
1963-04-01,32
1963-05-01,32
1963-06-01,32.1
1963-07-01,32.1
1963-08-01,32.2
1963-09-01,32.3
1963-10-01,32.3
1963-11-01,32.3
1963-12-01,32.4
1964-01-01,32.5
1964-02-01,32.5
1964-03-01,32.5
1964-04-01,32.6
1964-05-01,32.6
1964-06-01,32.6
1964-07-01,32.6
1964-08-01,32.6
1964-09-01,32.6
1964-10-01,32.7
1964-11-01,32.8
1964-12-01,32.8
1965-01-01,32.9
1965-02-01,32.9
1965-03-01,33
1965-04-01,33
1965-05-01,33
